"group","outcome","co2_scale","co2_value","vbg_co2","probability_method","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","co2_ref","run_id","run_ts"
"VBG","niv_proc","vbg_co2",35.8844221105528,35.8844221105528,"common_source_marginal_standardized",-2.73047127179935,0.00288949096129127,0.000310474935930738,0.0612065109343919,20,20,128521,5000,5000,0.00321548964401855,0.0567052876195734,0.0611990808862771,0.0551164415193627,0.0679047571543502,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",36.1708542713568,36.1708542713568,"common_source_marginal_standardized",-2.73269465126898,0.00283004360893034,0.000305783613169378,0.061078769317854,20,20,128521,5000,5000,0.00315111640275818,0.0561348056267961,0.0610714639488783,0.0550589107125577,0.06769356484987,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",36.4572864321608,36.4572864321608,"common_source_marginal_standardized",-2.73517089665529,0.0027633042459598,0.00030070674924355,0.0609367964621129,20,20,128521,5000,5000,0.00307904633266553,0.0554891550905718,0.0609296259646047,0.054995951372486,0.0674578022221592,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",36.7437185929648,36.7437185929648,"common_source_marginal_standardized",-2.73790283781526,0.00268935619584645,0.000295274010866775,0.0607805255483297,20,20,128521,5000,5000,0.00299939390725656,0.0547667226265783,0.0607734992960102,0.0549275984283514,0.0671973363859002,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",37.0301507537688,37.0301507537688,"common_source_marginal_standardized",-2.74089331208498,0.00260843797187744,0.000289520310587542,0.0606099004063309,20,20,128521,5000,5000,0.00291243429799435,0.0539669741415466,0.0606030268241054,0.054853778170424,0.0669121966564501,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",37.3165829145729,37.3165829145729,"common_source_marginal_standardized",-2.74414516446197,0.00252094895746214,0.000283485988246655,0.0604248757680702,20,20,128521,5000,5000,0.00281860924512113,0.0530905758597619,0.0604181622003246,0.0547742966844687,0.0666025873426325,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",37.6030150753769,37.6030150753769,"common_source_marginal_standardized",-2.74766124778201,0.0024274551951162,0.000277216995996883,0.0602254175126237,20,20,128521,5000,5000,0.00271853304091293,0.0521395535166243,0.0602188700904064,0.0546888246864541,0.0662689040337316,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",37.8894472361809,37.8894472361809,"common_source_marginal_standardized",-2.75144442289033,0.00232869528667243,0.000270765086956038,0.0600115029020691,20,20,128521,5000,5000,0.00261299862797627,0.0511174982562358,0.0600051264095613,0.0545968779771939,0.0659117541538605,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",38.1758793969849,38.1758793969849,"common_source_marginal_standardized",-2.7554975588065,0.00222558640720295,0.000264188007562385,0.0597831208075897,20,20,128521,5000,5000,0.00250298381514346,0.0500298292535909,0.0597769185482891,0.0544977926254217,0.0655319826680092,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",38.4623115577889,38.4623115577889,"common_source_marginal_standardized",-2.7598235328826,0.00211923043506578,0.000257549693697681,0.0595402719251332,20,20,128521,5000,5000,0.00238965761344835,0.0488841243498168,0.0595342455881989,0.0543906939132739,0.0651307038986195,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",38.748743718593,38.748743718593,"common_source_marginal_standardized",-2.76442523095438,0.00201092020040381,0.000250920470640161,0.0592829689799466,20,20,128521,5000,5000,0.00227438669457598,0.0476905304497232,0.0592771185071724,0.054274458105377,0.0647093403843633,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",39.035175879397,39.035175879397,"common_source_marginal_standardized",-2.76930551462014,0.00190214622196594,0.000244377274291982,0.0590112387446156,20,20,128521,5000,5000,0.00215874235997252,0.0464622681320286,0.0590055621979759,0.054147667615673,0.0642696719322053,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",39.321608040201,39.321608040201,"common_source_marginal_standardized",-2.77444226407366,0.00179485811926663,0.000238015873258165,0.0587265020067412,20,20,128521,5000,5000,0.0020447747861877,0.0452191860407472,0.0587209950544505,0.0540095358152011,0.063815727349766,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",39.608040201005,39.608040201005,"common_source_marginal_standardized",-2.77974385637443,0.00169175091562596,0.000231964091396165,0.0584339906798062,20,20,128521,5000,5000,0.00193531321159193,0.0439921948940028,0.0584286456233567,0.0538617277381442,0.0633568607908616,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",39.894472361809,39.894472361809,"common_source_marginal_standardized",-2.78510662445314,0.00159540895188321,0.000226341542373024,0.0581395060259063,20,20,128521,5000,5000,0.00183306757137489,0.0428143383853457,0.0581343120377289,0.0537062972162853,0.0629031426628511,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",40.1809045226131,40.1809045226131,"common_source_marginal_standardized",-2.79042682874859,0.00150810390922063,0.000221250750255984,0.0578487460503178,20,20,128521,5000,5000,0.00174041719698941,0.0417183076956557,0.0578436896593195,0.0535453188792524,0.0624643408713134,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",40.4673366834171,40.4673366834171,"common_source_marginal_standardized",-2.79560065749547,0.0014317464262623,0.000216775507418624,0.057567305974346,20,20,128521,5000,5000,0.00165936070905186,0.0407352514298348,0.0575623715717279,0.0533810031026226,0.0620498001618561,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",40.7537688442211,40.7537688442211,"common_source_marginal_standardized",-2.80052423051572,0.00136784677188603,0.000212979604470262,0.0573006836904261,20,20,128521,5000,5000,0.0015914753565798,0.039893299645176,0.0572958540432382,0.0532158376445595,0.0616683072604835,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",41.0402010050251,41.0402010050251,"common_source_marginal_standardized",-2.80509360643542,0.00131748469789779,0.000209905938091061,0.0570542900803352,20,20,128521,5000,5000,0.00153788593289341,0.039215888781123,0.0570495468416639,0.0530527469538329,0.0613279503399096,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",41.3266331658292,41.3266331658292,"common_source_marginal_standardized",-2.8092047932587,0.00128128860136247,0.000207576002715239,0.0568334640914417,20,20,128521,5000,5000,0.00149924340421347,0.0387200646204713,0.056828788297615,0.0528952518457033,0.0610359896372751,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",41.6130653266332,41.6130653266332,"common_source_marginal_standardized",-2.81275376224516,0.00125942412646908,0.000205989771846168,0.0566434924895693,20,20,128521,5000,5000,0.00147571338690756,0.0384150151230943,0.0566388650362422,0.0527476058943215,0.0607987624390853,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",41.8994974874372,41.8994974874372,"common_source_marginal_standardized",-2.81563646505917,0.0012515923309085,0.000205125974436678,0.0564896342401905,20,20,128521,5000,5000,0.00146697460406701,0.0383011044758113,0.0564850363305867,0.0526148842329532,0.0606216463791209,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",42.1859296482412,42.1859296482412,"common_source_marginal_standardized",-2.81774885418706,0.00125703753240115,0.000204942771248155,0.056377149512249,20,20,128521,5000,5000,0.00147222744221172,0.0383696161332338,0.056372563072133,0.0525030078646296,0.0605090976856424,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",42.4723618090452,42.4723618090452,"common_source_marginal_standardized",-2.81898690665261,0.001274564937727,0.000205378835436111,0.056311333350918,20,20,128521,5000,5000,0.00149021271493491,0.0386032733707249,0.0563067414060115,0.0524187008778203,0.0604647668526481,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",42.7587939698493,42.7587939698493,"common_source_marginal_standardized",-2.81924665110112,0.00130256813978729,0.000206354840812527,0.0562975541271017,20,20,128521,5000,5000,0.00151924072264044,0.0389774386362219,0.0562929411395929,0.0523693941319602,0.0604916781981687,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",43.0452261306533,43.0452261306533,"common_source_marginal_standardized",-2.8184241983693,0.00133906654815034,0.000207775360320355,0.0563412969425972,20,20,128521,5000,5000,0.00155723067648671,0.039461762207062,0.0563366491040828,0.0523631007404989,0.0605924481960138,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",43.3316582914573,43.3316582914573,"common_source_marginal_standardized",-2.81641577571107,0.00138175279532882,0.000209531176224509,0.0564482122507898,20,20,128521,5000,5000,0.00160176053036456,0.0400220005792384,0.0564435177293941,0.0524082920888854,0.0607695142718639,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
"VBG","niv_proc","vbg_co2",43.6180904522613,43.6180904522613,"common_source_marginal_standardized",-2.8131177649088,0.00142805013464132,0.000211502002375541,0.0566241700438421,20,20,128521,5000,5000,0.00165012723713564,0.0406217581738609,0.056619419183341,0.052513798461422,0.0610253506608989,TRUE,18,45,"20260421_121048","2026-04-21 12:10:48.40139"
