sampled_at,render_ts,sampled_pid,role,rss_kb,vsz_kb,state,etime,command
"2026-04-24 06:40:01","20260424_063642",65688,"r",2769888,1840908384,"R","03:16","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:40:16","20260424_063642",65547,"wrapper",960,435304208,"Ss","03:34","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:40:16","20260424_063642",65645,"quarto",512,435299952,"S","03:31","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:40:16","20260424_063642",65688,"r",2833952,1840908384,"R","03:31","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:40:31","20260424_063642",65547,"wrapper",960,435304208,"Ss","03:49","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:40:31","20260424_063642",65645,"quarto",512,435299952,"S","03:46","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:40:31","20260424_063642",65688,"r",2841920,1840908384,"R","03:46","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:40:46","20260424_063642",65547,"wrapper",960,435304208,"Ss","04:04","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:40:46","20260424_063642",65645,"quarto",512,435299952,"S","04:01","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:40:46","20260424_063642",65688,"r",2864752,1840908384,"R","04:01","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:41:01","20260424_063642",65547,"wrapper",960,435304208,"Ss","04:19","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:41:02","20260424_063642",65645,"quarto",512,435299952,"S","04:17","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:41:02","20260424_063642",65688,"r",2865312,1840908384,"R","04:17","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:41:17","20260424_063642",65547,"wrapper",960,435304208,"Ss","04:35","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:41:17","20260424_063642",65645,"quarto",512,435299952,"S","04:32","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:41:17","20260424_063642",65688,"r",2865680,1840908384,"R","04:32","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:41:32","20260424_063642",65547,"wrapper",960,435304208,"Ss","04:50","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:41:32","20260424_063642",65645,"quarto",512,435299952,"S","04:47","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:41:32","20260424_063642",65688,"r",2868048,1840908384,"R","04:47","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:41:47","20260424_063642",65547,"wrapper",960,435304208,"Ss","05:05","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:41:47","20260424_063642",65645,"quarto",512,435299952,"S","05:02","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:41:47","20260424_063642",65688,"r",2870432,1840908384,"R","05:02","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:42:02","20260424_063642",65547,"wrapper",960,435304208,"Ss","05:20","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:42:02","20260424_063642",65645,"quarto",512,435299952,"S","05:17","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:42:02","20260424_063642",65688,"r",2870720,1840908384,"R","05:17","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:42:17","20260424_063642",65547,"wrapper",960,435304208,"Ss","05:35","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:42:17","20260424_063642",65645,"quarto",512,435299952,"S","05:32","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:42:17","20260424_063642",65688,"r",2870896,1840908384,"R","05:32","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:42:32","20260424_063642",65547,"wrapper",960,435304208,"Ss","05:50","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:42:32","20260424_063642",65645,"quarto",512,435299952,"S","05:47","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:42:32","20260424_063642",65688,"r",2824368,1840856016,"R","05:47","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:42:47","20260424_063642",65547,"wrapper",960,435304208,"Ss","06:05","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:42:47","20260424_063642",65645,"quarto",512,435299952,"S","06:02","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:42:47","20260424_063642",65688,"r",2824368,1840856016,"R","06:02","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:43:02","20260424_063642",65547,"wrapper",960,435304208,"Ss","06:20","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:43:02","20260424_063642",65645,"quarto",512,435299952,"S","06:17","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:43:02","20260424_063642",65688,"r",2824368,1840856016,"R","06:17","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:43:17","20260424_063642",65547,"wrapper",960,435304208,"Ss","06:35","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:43:18","20260424_063642",65645,"quarto",512,435299952,"S","06:33","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:43:18","20260424_063642",65688,"r",2827680,1840813744,"R","06:33","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:43:33","20260424_063642",65547,"wrapper",960,435304208,"Ss","06:51","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:43:33","20260424_063642",65645,"quarto",512,435299952,"S","06:48","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:43:33","20260424_063642",65688,"r",2833664,1840813744,"R","06:48","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:43:48","20260424_063642",65547,"wrapper",960,435304208,"Ss","07:06","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:43:48","20260424_063642",65645,"quarto",512,435299952,"S","07:03","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:43:48","20260424_063642",65688,"r",2818032,1840737600,"R","07:03","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:44:03","20260424_063642",65547,"wrapper",960,435304208,"Ss","07:21","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:44:03","20260424_063642",65645,"quarto",512,435299952,"S","07:18","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:44:03","20260424_063642",65688,"r",3110256,1840737600,"R","07:18","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:44:18","20260424_063642",65547,"wrapper",960,435304208,"Ss","07:36","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:44:18","20260424_063642",65645,"quarto",512,435299952,"S","07:33","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:44:18","20260424_063642",65688,"r",3123872,1840704560,"R","07:33","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:44:33","20260424_063642",65547,"wrapper",960,435304208,"Ss","07:51","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:44:33","20260424_063642",65645,"quarto",512,435299952,"S","07:48","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:44:33","20260424_063642",65688,"r",3124016,1840704560,"R","07:48","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:44:48","20260424_063642",65547,"wrapper",960,435304208,"Ss","08:06","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:44:48","20260424_063642",65645,"quarto",512,435299952,"S","08:03","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:44:48","20260424_063642",65688,"r",3124288,1840704560,"R","08:03","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:45:03","20260424_063642",65547,"wrapper",960,435304208,"Ss","08:21","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:45:03","20260424_063642",65645,"quarto",512,435299952,"S","08:18","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:45:03","20260424_063642",65688,"r",3130944,1840704560,"R","08:18","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:45:18","20260424_063642",65547,"wrapper",960,435304208,"Ss","08:36","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:45:18","20260424_063642",65645,"quarto",512,435299952,"S","08:33","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:45:18","20260424_063642",65688,"r",3115776,1840704560,"R","08:33","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:45:33","20260424_063642",65547,"wrapper",960,435304208,"Ss","08:51","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:45:34","20260424_063642",65645,"quarto",512,435299952,"S","08:49","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:45:34","20260424_063642",65688,"r",3115808,1840704560,"R","08:49","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
"2026-04-24 06:45:49","20260424_063642",65547,"wrapper",960,435304208,"Ss","09:07","bash ./scripts/render_pdf.sh -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:45:49","20260424_063642",65645,"quarto",512,435299952,"S","09:04","/usr/bin/time -l quarto render /Users/reblocke/Research/abg-vbg-project/Code Drafts/ABG-VBG analysis 2026-4-21.qmd --to pdf -P run_mode:pilot -P pilot_frac:0.01"
"2026-04-24 06:45:49","20260424_063642",65688,"r",2861728,1840704560,"R","09:04","/Library/Frameworks/R.framework/Resources/bin/exec/R --no-echo --no-restore --file=/Applications/quarto/share/rmd/rmd.R"
