"vbg_co2","age_at_encounter","sex","race_ethnicity","location","encounter_type","logOR","SE_logOR","OR","LCL","UCL","co2_ref","m_used","m_total","outcome","group","run_id","run_ts"
53.356783919598,62,"Male","0","1","Inpatient",0.197544530035443,0.0250812858684462,1.21840731948277,1.15995963805563,1.27980004429948,45,20,20,"death_60d","VBG","20260421_121048","2026-04-21 12:10:48.40139"
53.643216080402,62,"Male","0","1","Inpatient",0.207358843800533,0.0260019437607084,1.23042402260261,1.16928802042549,1.29475650904786,45,20,20,"death_60d","VBG","20260421_121048","2026-04-21 12:10:48.40139"
53.929648241206,62,"Male","0","1","Inpatient",0.217121123674002,0.0269135660551822,1.24249458853334,1.17865096469009,1.3097964102889,45,20,20,"death_60d","VBG","20260421_121048","2026-04-21 12:10:48.40139"
54.21608040201,62,"Male","0","1","Inpatient",0.226831477378649,0.0278159438618818,1.25461841853909,1.18804871668391,1.32491820750506,45,20,20,"death_60d","VBG","20260421_121048","2026-04-21 12:10:48.40139"
54.5025125628141,62,"Male","0","1","Inpatient",0.236490012637274,0.0287089072840677,1.26679490361675,1.19748144375271,1.34012041372457,45,20,20,"death_60d","VBG","20260421_121048","2026-04-21 12:10:48.40139"
54.7889447236181,62,"Male","0","1","Inpatient",0.246096837172674,0.0295923188141614,1.27902342455717,1.20694924693618,1.35540158355345,45,20,20,"death_60d","VBG","20260421_121048","2026-04-21 12:10:48.40139"
55.0753768844221,62,"Male","0","1","Inpatient",0.255652058707648,0.0304660680392828,1.2913033520089,1.21645217072614,1.37076030364109,45,20,20,"death_60d","VBG","20260421_121048","2026-04-21 12:10:48.40139"
55.3618090452261,62,"Male","0","1","Inpatient",0.265155784964996,0.0313300673662578,1.30363404654458,1.22599021093556,1.38619518504421,45,20,20,"death_60d","VBG","20260421_121048","2026-04-21 12:10:48.40139"
55.6482412060301,62,"Male","0","1","Inpatient",0.274608123667517,0.0321842485465604,1.31601485872982,1.23556332108374,1.4017048570838,45,20,20,"death_60d","VBG","20260421_121048","2026-04-21 12:10:48.40139"
55.9346733668342,62,"Male","0","1","Inpatient",0.284009182538009,0.0330285598336568,1.32844512919468,1.2451714176072,1.41728796238542,45,20,20,"death_60d","VBG","20260421_121048","2026-04-21 12:10:48.40139"
