"paco2","age_at_encounter","sex","race_ethnicity","location","encounter_type","eta","SE_eta","var_eta","p","p_LCL","p_UCL","co2_ref","m_used","m_total","outcome","group","run_id","run_ts"
43.0783914537286,64,"Male","0","0","Inpatient",-2.13776819500236,0.052382085310958,0.00274388286152449,0.105479783464542,0.0961775405744048,0.115566693935901,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
43.395979397261,64,"Male","0","0","Inpatient",-2.13221064429252,0.0522148791314304,0.00272639360270989,0.106005310385614,0.096690349603019,0.116102315572818,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
43.7135673407933,64,"Male","0","0","Inpatient",-2.12584128052631,0.0520175457418312,0.0027058250650035,0.106610439950653,0.0972820496074147,0.116717675818442,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
44.0311552843257,64,"Male","0","0","Inpatient",-2.11875488839711,0.0517976694060895,0.00268299855590254,0.107287264878517,0.0979442116173957,0.117405567787938,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
44.348743227858,64,"Male","0","0","Inpatient",-2.11104625259829,0.051562821733698,0.00265872458514112,0.108027810808333,0.0986683207741501,0.118158736439086,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
44.6663311713904,64,"Male","0","0","Inpatient",-2.10281015782324,0.0513204238541586,0.00263378590457049,0.108823988621567,0.0994457454495237,0.118969810284207,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
44.9839191149228,64,"Male","0","0","Inpatient",-2.09414138876532,0.0510776171514232,0.00260892297386736,0.109667552613076,0.100267713265698,0.119831238210259,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
45.3015070584551,64,"Male","0","0","Inpatient",-2.08513473011792,0.0508411433001885,0.0025848218520703,0.110550064577379,0.101125294063031,0.120735231503269,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
45.6190950019875,64,"Male","0","0","Inpatient",-2.07588496657441,0.0506172353546126,0.00256210451494424,0.111462863931143,0.10200938962784,0.12167371153579,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
45.9366829455198,64,"Male","0","0","Inpatient",-2.06648688282818,0.0504115224742622,0.00254132159817304,0.112397044037143,0.102910729764931,0.122638263905572,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
46.2542708890522,64,"Male","0","0","Inpatient",-2.0570352635726,0.0502289514760173,0.0025229475663801,0.113343434928648,0.10381987409561,0.123620100095805,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
46.5718588325846,64,"Male","0","0","Inpatient",-2.04761497534852,0.0500733131441056,0.00250733668922766,0.114293596672722,0.104728225092688,0.124611020992697,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
46.8894467761169,64,"Male","0","0","Inpatient",-2.03824946170557,0.0499452481206729,0.00249452780983558,0.115245103169886,0.105633305625999,0.125608666237123,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
47.2070347196493,64,"Male","0","0","Inpatient",-2.02893868210168,0.0498442799619929,0.00248445224492952,0.116197870703928,0.106535011569909,0.126612963855373,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
47.5246226631816,64,"Male","0","0","Inpatient",-2.01968254879358,0.0497698906921315,0.00247704201950672,0.117151819997575,0.107433254002969,0.127623835177772,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
47.842210606714,64,"Male","0","0","Inpatient",-2.01048097403797,0.049721525224672,0.00247223007066769,0.118106871486749,0.108327954291569,0.128641190358232,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
48.1597985502464,64,"Male","0","0","Inpatient",-2.00133387009156,0.0496985939792216,0.00246995024351152,0.119062945338389,0.109219043865511,0.129664928645365,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
48.4773864937787,64,"Male","0","0","Inpatient",-1.99224114921108,0.0497004757224479,0.00247013728703764,0.120019961468286,0.110106463921927,0.13069493872539,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
48.7949744373111,64,"Male","0","0","Inpatient",-1.98320272365324,0.0497265205906699,0.00247272685005432,0.120977839558891,0.110990165064204,0.131731099130169,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
49.1125623808434,64,"Male","0","0","Inpatient",-1.97421850567475,0.0497760532494662,0.0024776554770937,0.121936499077124,0.111870106883395,0.132773278702825,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
49.4301503243758,64,"Male","0","0","Inpatient",-1.96528840753233,0.049848376145401,0.00248486060433338,0.122895859292139,0.112746257490273,0.13382133711279,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
49.7477382679081,64,"Male","0","0","Inpatient",-1.95641234148268,0.0499427728057292,0.00249428055552469,0.123855839293071,0.113618593006507,0.134875125411759,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
50.0653262114405,64,"Male","0","0","Inpatient",-1.94759021978253,0.0500585111437355,0.00250585453792749,0.124816358006733,0.114487097023629,0.135934486621847,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
50.3829141549729,64,"Male","0","0","Inpatient",-1.93882195468859,0.0501948467300339,0.00251952263825159,0.125777334215264,0.115351760038384,0.136999256347339,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
50.7005020985052,64,"Male","0","0","Inpatient",-1.93010745845756,0.0503510259935663,0.00253522581860479,0.126738686573722,0.116212578872783,0.138069263401684,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
51.0180900420376,64,"Male","0","0","Inpatient",-1.92144664334618,0.050526289319991,0.00255290591244744,0.127700333627609,0.117069556086753,0.139144330441799,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
51.3356779855699,64,"Male","0","0","Inpatient",-1.91283942161114,0.0507198740194976,0.00257250562055371,0.12866219383033,0.117922699390704,0.140224274602347,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
51.6532659291023,64,"Male","0","0","Inpatient",-1.90428570550917,0.0509310171406319,0.00259396850697934,0.129624185560564,0.11877202106466,0.141308908123319,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
51.9708538726347,64,"Male","0","0","Inpatient",-1.89578540729698,0.0511589581113228,0.00261723899503608,0.130586227139553,0.119617537389832,0.142398038964989,40,20,20,"death_60d","ABG","20260421_094018","2026-04-21 09:40:18.841212"
