"sentinel_concept","group","imp","n_tested","events","unweighted_rate","weighted_rate","weighted_n","ess","date_missing_fraction","run_id","run_ts"
"Chest radiograph","ABG",13,46653,14118,0.302617195035689,0.295671031898973,46653.0000000002,33822.972676176,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",13,37383,15186,0.40622742958029,0.396130975850093,37383,25652.6552751478,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",13,46653,6888,0.147643238376953,0.129816424252116,46653.0000000002,33822.972676176,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",13,37383,6370,0.17039830939197,0.199802783148467,37383,25652.6552751478,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",14,46653,2167,0.0464493173000664,0.047560582170767,46653,33977.4154525239,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",14,37383,3022,0.0808388839846989,0.0717898538905357,37383.0000000001,25657.8731945879,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",14,46653,14118,0.302617195035689,0.296445703086965,46653,33977.4154525239,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",14,37383,15186,0.40622742958029,0.396123743022499,37383.0000000001,25657.8731945879,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","ABG",14,46653,6888,0.147643238376953,0.129465208586406,46653,33977.4154525239,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Transthoracic echocardiography","VBG",14,37383,6370,0.17039830939197,0.199089965031422,37383.0000000001,25657.8731945879,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","ABG",15,46653,2167,0.0464493173000664,0.0476335969223946,46652.9999999999,33918.8917271296,0,"20260421_121048","2026-04-21 12:10:48.40139"
"CT chest / CT pulmonary angiography","VBG",15,37383,3022,0.0808388839846989,0.0723823336665582,37383.0000000001,25716.0750479709,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","ABG",15,46653,14118,0.302617195035689,0.295605474311907,46652.9999999999,33918.8917271296,0,"20260421_121048","2026-04-21 12:10:48.40139"
"Chest radiograph","VBG",15,37383,15186,0.40622742958029,0.397173942459361,37383.0000000001,25716.0750479709,0,"20260421_121048","2026-04-21 12:10:48.40139"
