"paco2","age_at_encounter","sex","race_ethnicity","location","encounter_type","eta","SE_eta","var_eta","p","p_LCL","p_UCL","co2_ref","m_used","m_total","outcome","outcome_var","group","strategy","co2_scale","co2_value","vbg_co2","run_id","run_ts"
28.4321608040201,63,"Male","0","0","Inpatient",-2.33813050368603,0.0529910025183669,0.00280804634790157,0.0880138589427188,0.0800260705503148,0.0967151284328483,40,20,20,"NIV","niv_proc","ABG","common_reference","paco2",28.4321608040201,NA,"20260421_121048","2026-04-21 12:10:48.40139"
28.7537688442211,63,"Male","0","0","Inpatient",-2.33845470231256,0.0526710493747209,0.00277423944223429,0.0879878398310163,0.080048374162545,0.0966320529013765,40,20,20,"NIV","niv_proc","ABG","common_reference","paco2",28.7537688442211,NA,"20260421_121048","2026-04-21 12:10:48.40139"
29.0753768844221,63,"Male","0","0","Inpatient",-2.33905911835264,0.0523601210846729,0.00274158228000161,0.0879393499503835,0.0800487426174771,0.0965261438514325,40,20,20,"NIV","niv_proc","ABG","common_reference","paco2",29.0753768844221,NA,"20260421_121048","2026-04-21 12:10:48.40139"
29.3969849246231,63,"Male","0","0","Inpatient",-2.33994733457643,0.0520483558008304,0.00270903134156984,0.0878681357305806,0.0800283349444427,0.0963954727736834,40,20,20,"NIV","niv_proc","ABG","common_reference","paco2",29.3969849246231,NA,"20260421_121048","2026-04-21 12:10:48.40139"
29.7185929648241,63,"Male","0","0","Inpatient",-2.34112293375413,0.0517266380119665,0.00267564508002102,0.0877739602385562,0.0799882167782119,0.0962382642404123,40,20,20,"NIV","niv_proc","ABG","common_reference","paco2",29.7185929648241,NA,"20260421_121048","2026-04-21 12:10:48.40139"
30.0402010050251,63,"Male","0","0","Inpatient",-2.3425894986559,0.0513866605992593,0.00264058888754346,0.0876566038079611,0.0799293490920061,0.0960529100486924,40,20,20,"NIV","niv_proc","ABG","common_reference","paco2",30.0402010050251,NA,"20260421_121048","2026-04-21 12:10:48.40139"
30.3618090452261,63,"Male","0","0","Inpatient",-2.34435061205193,0.0510209772948953,0.00260314012412622,0.0875158646596799,0.0798525788291792,0.095837981394473,40,20,20,"NIV","niv_proc","ABG","common_reference","paco2",30.3618090452261,NA,"20260421_121048","2026-04-21 12:10:48.40139"
30.6834170854271,63,"Male","0","0","Inpatient",-2.34640985671238,0.0506230501704224,0.0025626932085571,0.0873515595120359,0.0797586307564189,0.0955922397448054,40,20,20,"NIV","niv_proc","ABG","common_reference","paco2",30.6834170854271,NA,"20260421_121048","2026-04-21 12:10:48.40139"
31.0050251256281,63,"Male","0","0","Inpatient",-2.34877081540744,0.0501872969159001,0.00251876477172472,0.0871635241792856,0.0796480998414649,0.0953146470949812,40,20,20,"NIV","niv_proc","ABG","common_reference","paco2",31.0050251256281,NA,"20260421_121048","2026-04-21 12:10:48.40139"
31.3266331658291,63,"Male","0","0","Inpatient",-2.35143707090729,0.0497091427428009,0.00247099887222416,0.086951614156983,0.0795214434544322,0.0950043763009385,40,20,20,"NIV","niv_proc","ABG","common_reference","paco2",31.3266331658291,NA,"20260421_121048","2026-04-21 12:10:48.40139"
