"method","group","outcome","metric_type","level","estimate","lcl","ucl","n_model","events","run_id","run_ts"
"Weighted and adjusted","VBG","NIV","OR","Low vs normal",0.965986890930746,0.843106167520157,1.1067771882095,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","VBG","NIV","OR","High vs normal",2.85235354074974,2.54733729410417,3.19389220275548,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","VBG","Death (60d)","OR","Low vs normal",1.74030481964259,1.58845511411,1.90667072576878,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","VBG","Death (60d)","OR","High vs normal",1.36606698648641,1.24661903298484,1.49696014755998,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","VBG","Hypercapnic RF","OR","Low vs normal",0.878089783953932,0.746056062014088,1.03349025353768,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Weighted and adjusted","VBG","Hypercapnic RF","OR","High vs normal",8.1304245692276,7.23012766112647,9.14282662411532,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","ABG","IMV","OR","Low vs normal",1.4077130670993,1.33037648637406,1.48954532764114,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","ABG","IMV","OR","High vs normal",1.30298059018809,1.23016050339997,1.38011130556913,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","ABG","NIV","OR","Low vs normal",1.04170738609158,0.94733748393884,1.14547803357881,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","ABG","NIV","OR","High vs normal",2.69067307538557,2.48168081239863,2.91726541239097,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","ABG","Death (60d)","OR","Low vs normal",1.98951424877346,1.86409670204021,2.12336996344691,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","ABG","Death (60d)","OR","High vs normal",1.43049329005999,1.33575452083533,1.53195143343177,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","ABG","Hypercapnic RF","OR","Low vs normal",0.994305266425803,0.889776931759606,1.11111327744468,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","ABG","Hypercapnic RF","OR","High vs normal",6.67900083348519,6.15323023181797,7.24969657449598,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","VBG","IMV","OR","Low vs normal",1.38411735956373,1.27775578447673,1.49933257068387,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","VBG","IMV","OR","High vs normal",1.54887697773938,1.4323850676958,1.67484285216003,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","VBG","NIV","OR","Low vs normal",0.990635731291791,0.873941358490142,1.12291190087108,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","VBG","NIV","OR","High vs normal",2.8385484558061,2.55962063924211,3.1478716855264,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","VBG","Death (60d)","OR","Low vs normal",1.71529638878303,1.58020174311148,1.86194054917234,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","VBG","Death (60d)","OR","High vs normal",1.39861918367928,1.28739327232774,1.51945459324858,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","VBG","Hypercapnic RF","OR","Low vs normal",0.921757514532601,0.795508336215148,1.06804275570474,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"GBM-weighted","VBG","Hypercapnic RF","OR","High vs normal",8.75880843543279,7.88323654172733,9.73162796809835,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","IMV","Probability","Normal",0.229778267324841,0.224121897302026,0.23553405607727,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","IMV","Probability","Low",0.288567819359422,0.2807414813728,0.296522388917413,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","IMV","Probability","High",0.271249809248333,0.263705269783187,0.278928427210432,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","NIV","Probability","Normal",0.0747569560845273,0.0712670163498599,0.0784033703695264,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","NIV","Probability","Low",0.0785567661456202,0.0739971771083797,0.0833720142927925,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","NIV","Probability","High",0.162826186479377,0.156603519612299,0.169246494022277,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","Death (60d)","Probability","Normal",0.137397634213139,0.132794440164054,0.14213424101541,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","Death (60d)","Probability","Low",0.232196431391696,0.224924377504503,0.239630908533039,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","Death (60d)","Probability","High",0.186097970395427,0.179526649436282,0.192853287520127,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","Hypercapnic RF","Probability","Normal",0.052966812046992,0.0500100182082585,0.0560881020977441,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","Hypercapnic RF","Probability","Low",0.0507658300020106,0.0470763847662231,0.0547278163114872,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","ABG","Hypercapnic RF","Probability","High",0.247291316954234,0.239979101764267,0.254751654916724,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","IMV","Probability","Normal",0.121935707688403,0.117142560308733,0.12689678784272,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","IMV","Probability","Low",0.175654398740254,0.168377952541456,0.183176034090653,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","IMV","Probability","High",0.190831234256754,0.183219654723177,0.198682106653718,37383,5788,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","NIV","Probability","Normal",0.049086494357324,0.0459651630162286,0.0524081406979483,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","NIV","Probability","Low",0.056681755595633,0.0523499489844838,0.0613488017404772,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","NIV","Probability","High",0.124130982367798,0.117788018068805,0.130764890311939,37383,2657,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","Death (60d)","Probability","Normal",0.105746993999541,0.101251004530241,0.110418097667333,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","Death (60d)","Probability","Low",0.168962802598061,0.161801696353374,0.17637415821326,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","Death (60d)","Probability","High",0.155264483627346,0.148272113847229,0.162523684445122,37383,5087,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","Hypercapnic RF","Probability","Normal",0.0362511563366986,0.0335662114221104,0.0391421702510494,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","Hypercapnic RF","Probability","Low",0.038870301121775,0.0352817051552857,0.042807706224381,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Crude","VBG","Hypercapnic RF","Probability","High",0.231838790931894,0.223640248821232,0.240244880844341,37383,3323,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","IMV","Probability","Normal",0.226946107136789,0.218981466400344,0.235113227344301,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","IMV","Probability","Low",0.288839758972719,0.278391977895806,0.299516888752229,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","IMV","Probability","High",0.277098795137664,0.266980488090065,0.287450198777073,46653,12008,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","NIV","Probability","Normal",0.0964276034802504,0.0906742901181277,0.102504815807357,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","NIV","Probability","Low",0.0997224118102202,0.0927778025998742,0.107125458772409,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","NIV","Probability","High",0.21852785100578,0.207590127598277,0.229874690907222,46653,4690,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","Death (60d)","Probability","Normal",0.129738353192973,0.123621178871496,0.1361112127824,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","Death (60d)","Probability","Low",0.227629672644764,0.217671762738621,0.237904599336768,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","Death (60d)","Probability","High",0.172405114950056,0.164064648395745,0.181077735796572,46653,8249,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","Hypercapnic RF","Probability","Normal",0.0513764203048475,0.0477241079760028,0.0552920138323723,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
"Adjusted","ABG","Hypercapnic RF","Probability","Low",0.0487333705784835,0.0445460894299005,0.0532922975541672,46653,4990,"20260421_121048","2026-04-21 12:10:48.40139"
