"method","group","outcome","metric_type","level","estimate","lcl","ucl","n_model","events","run_id","run_ts"
"Weighted and adjusted","VBG","Death (60d)","OR","High vs normal",1.2764596384084,0.801086677703907,2.03392373613773,1500,192,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","VBG","Hypercapnic RF","OR","Low vs normal",0.985481964037752,0.432390876090677,2.24605734104353,1500,128,"20260416_211701","2026-04-16 21:17:01.49828"
"Weighted and adjusted","VBG","Hypercapnic RF","OR","High vs normal",10.2503821138389,5.38230533553723,19.5214368062643,1500,128,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","ABG","IMV","OR","Low vs normal",1.24680068393917,0.94060978281746,1.6526640205834,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","ABG","IMV","OR","High vs normal",1.17270477426607,0.879599369404504,1.56348052922945,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","ABG","NIV","OR","Low vs normal",0.791720595347848,0.498793231729137,1.25667603572925,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","ABG","NIV","OR","High vs normal",1.5099456212601,1.03667791636198,2.19927109778081,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","ABG","Death (60d)","OR","Low vs normal",2.02939682618798,1.48610945549887,2.77129753996438,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","ABG","Death (60d)","OR","High vs normal",1.06269357354235,0.742641801028587,1.52067609133242,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","ABG","Hypercapnic RF","OR","Low vs normal",0.982707673097031,0.557824218065547,1.73121628550431,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","ABG","Hypercapnic RF","OR","High vs normal",5.24436961803253,3.51342489541498,7.82809182186721,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","VBG","IMV","OR","Low vs normal",1.53326478857818,1.05250376208224,2.23362708675051,1500,242,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","VBG","IMV","OR","High vs normal",1.76510923426503,1.21069677920919,2.57340290516241,1500,242,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","VBG","NIV","OR","Low vs normal",0.661747136064198,0.372165914339244,1.17665066900779,1500,118,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","VBG","NIV","OR","High vs normal",2.77343685969478,1.70439579603017,4.51300808921821,1500,118,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","VBG","Death (60d)","OR","Low vs normal",1.71598206143563,1.14434390374457,2.57317264987688,1500,192,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","VBG","Death (60d)","OR","High vs normal",1.41876329683338,0.935405270086446,2.15189004895761,1500,192,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","VBG","Hypercapnic RF","OR","Low vs normal",0.827278420628307,0.405182926340927,1.6890879174445,1500,128,"20260416_211701","2026-04-16 21:17:01.49828"
"GBM-weighted","VBG","Hypercapnic RF","OR","High vs normal",9.50650754060314,5.55027260421176,16.2827471845194,1500,128,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","IMV","Probability","Normal",0.240762812872951,0.213027960343889,0.270865737781004,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","IMV","Probability","Low",0.296523517382695,0.257697037895212,0.338531999179756,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","IMV","Probability","High",0.277013752456272,0.239859870170707,0.31751875129513,1837,488,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","NIV","Probability","Normal",0.104886769964242,0.0858880907700368,0.127501828758028,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","NIV","Probability","Low",0.0838445807771023,0.0623261015031256,0.111905797082327,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","NIV","Probability","High",0.143418467583497,0.115572245400085,0.176634059910039,1837,202,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","Death (60d)","Probability","Normal",0.148986889153748,0.12646264406488,0.174720506667061,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","Death (60d)","Probability","Low",0.239263803681438,0.203514418234033,0.279092480188289,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","Death (60d)","Probability","High",0.143418467583496,0.115572248430429,0.176634055598387,1837,315,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","Hypercapnic RF","Probability","Normal",0.0572109654653056,0.0433781963034719,0.075108498909268,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
"Crude","ABG","Hypercapnic RF","Probability","Low",0.0552147239826495,0.0381333225840171,0.0793166056736893,1837,193,"20260416_211701","2026-04-16 21:17:01.49828"
