"outcome","outcome_var","group","co2_scale","strategy","co2_value","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","run_id","run_ts"
"IMV","imv_proc","ABG","paco2","marginal_standardized",40,-1.60720685188518,0.00928194120712527,0.000957315727911659,0.167018849143441,20,20,5175,1000,1000,0.0102871227214325,0.101425454011468,0.166976766676019,0.14112216727064,0.196484494597632,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",40.1356783919598,-1.6114280627332,0.00940546234467465,0.000962294496589551,0.166432697193318,20,20,5175,1000,1000,0.0104158715660937,0.102058177360237,0.16639044023811,0.140461511719975,0.196014273538802,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",40.4472361809045,-1.61999051498408,0.0096620065117297,0.000972281100215769,0.165248781457989,20,20,5175,1000,1000,0.0106829016669563,0.103358123371878,0.165206178294381,0.139125487159225,0.195068155901897,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",40.7587939698493,-1.62703662475419,0.00987722042742627,0.000980148466526193,0.164279588421667,20,20,5175,1000,1000,0.0109063763172788,0.104433597645962,0.164236718435507,0.138032729169045,0.194293947167026,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",41.070351758794,-1.63263926756263,0.0100482253671903,0.00098582709467099,0.163512184066761,20,20,5175,1000,1000,0.0110833438165949,0.10527746110443,0.163469128738852,0.13717160496534,0.193676553334751,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",41.3819095477387,-1.6368715095406,0.0101737316510736,0.000989308698373349,0.162934365782621,20,20,5175,1000,1000,0.0112125057843656,0.105889120236054,0.162891206446528,0.136530070587043,0.193203281229884,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",41.6934673366834,-1.6398065821651,0.0102538331301995,0.000990637959747934,0.162534566750775,20,20,5175,1000,1000,0.0112940029879348,0.106273246811861,0.162491382695836,0.136095880842689,0.192863359236016,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",42.0050251256281,-1.64151785869168,0.010289811155802,0.000989904669935851,0.162301766211444,20,20,5175,1000,1000,0.0113292110592347,0.106438766712296,0.162258633096243,0.135856713656743,0.192647563123793,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",42.3165829145729,-1.64207883219756,0.010283948452792,0.000987236273275406,0.162225405437442,20,20,5175,1000,1000,0.0113205465397312,0.106398057029869,0.162182393982718,0.135800232885762,0.192547921780178,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",42.6281407035176,-1.64156309515155,0.0102393532563496,0.000982790829178164,0.162295309229699,20,20,5175,1000,1000,0.0112712836269867,0.106166301748656,0.162252484163407,0.135914108226179,0.192557483050092,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",42.9396984924623,-1.64004432043443,0.0101597940134366,0.000976750403610891,0.162501612751254,20,20,5175,1000,1000,0.0111853819372281,0.105760966037703,0.162459031982041,0.136186006536619,0.192670124240174,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",43.251256281407,-1.63759624374231,0.010049544900638,0.000969314900065205,0.162834693529497,20,20,5175,1000,1000,0.0110673255457064,0.105201357147645,0.162792407528023,0.136603565642035,0.192880395186259,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",43.5628140703518,-1.63429264731523,0.00991324236466609,0.000960696338094669,0.163285108476301,20,20,5175,1000,1000,0.0109219735196655,0.10450824618022,0.16324315984656,0.137154359282976,0.193183384322623,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",43.8743718592965,-1.63020734494332,0.00975575285151875,0.000951113585888185,0.163843535799805,20,20,5175,1000,1000,0.0107544221167013,0.103703529914373,0.163801959024794,0.137825860118064,0.193574600099541,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",44.1859296482412,-1.62541416821267,0.00958205185405435,0.00094078755190105,0.16450072170778,20,20,5175,1000,1000,0.0105698787835505,0.102809915784181,0.164459543055549,0.138605406393576,0.194049861552088,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",44.4974874371859,-1.61998695396285,0.00939711437512928,0.00092993683926006,0.165247431829162,20,20,5175,1000,1000,0.0103735480563523,0.10185061637689,0.165206669406433,0.139480176895043,0.194605192984326,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",44.8090452261306,-1.61399953293726,0.00920581687399602,0.000918773865480261,0.166074407305929,20,20,5175,1000,1000,0.0101705294327503,0.100849042795409,0.166034071247136,0.140437177946854,0.19523671873708,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",45.1206030150754,-1.60752571961539,0.00901285073707472,0.000907501448963694,0.166972325531244,20,20,5175,1000,1000,0.0099657272584866,0.0998284892126822,0.166932418311085,0.14146324540119,0.195940554975139,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
"IMV","imv_proc","ABG","paco2","marginal_standardized",45.4321608040201,-1.60063930322384,0.00882264729024954,0.000896309862786989,0.167931765530691,20,20,5175,1000,1000,0.00976377264617588,0.0988118041843983,0.167892282388109,0.142545063651889,0.196712696461856,TRUE,18,"20260424_063653","2026-04-24 06:36:53.744157"
