"it","im","dep","meth","out","batch","seed","m_global_start","run_id","run_ts"
1,1,"vbg_o2sat","pmm","race_ethnicity5",2,20451206,3,"20260424_063653","2026-04-24 06:36:53.744157"
1,2,"vbg_o2sat","pmm","race_ethnicity5",2,20451206,3,"20260424_063653","2026-04-24 06:36:53.744157"
2,1,"vbg_o2sat","pmm","race_ethnicity5",2,20451206,3,"20260424_063653","2026-04-24 06:36:53.744157"
2,2,"vbg_o2sat","pmm","race_ethnicity5",2,20451206,3,"20260424_063653","2026-04-24 06:36:53.744157"
3,1,"vbg_o2sat","pmm","race_ethnicity5",2,20451206,3,"20260424_063653","2026-04-24 06:36:53.744157"
3,2,"vbg_o2sat","pmm","race_ethnicity5",2,20451206,3,"20260424_063653","2026-04-24 06:36:53.744157"
4,1,"vbg_o2sat","pmm","race_ethnicity5",2,20451206,3,"20260424_063653","2026-04-24 06:36:53.744157"
4,2,"vbg_o2sat","pmm","race_ethnicity5",2,20451206,3,"20260424_063653","2026-04-24 06:36:53.744157"
5,1,"vbg_o2sat","pmm","race_ethnicity5",2,20451206,3,"20260424_063653","2026-04-24 06:36:53.744157"
5,2,"vbg_o2sat","pmm","race_ethnicity5",2,20451206,3,"20260424_063653","2026-04-24 06:36:53.744157"
1,1,"vbg_o2sat","pmm","race_ethnicity5",3,20551206,5,"20260424_063653","2026-04-24 06:36:53.744157"
1,2,"vbg_o2sat","pmm","race_ethnicity5",3,20551206,5,"20260424_063653","2026-04-24 06:36:53.744157"
2,1,"vbg_o2sat","pmm","race_ethnicity5",3,20551206,5,"20260424_063653","2026-04-24 06:36:53.744157"
2,2,"vbg_o2sat","pmm","race_ethnicity5",3,20551206,5,"20260424_063653","2026-04-24 06:36:53.744157"
3,1,"vbg_o2sat","pmm","race_ethnicity5",3,20551206,5,"20260424_063653","2026-04-24 06:36:53.744157"
3,2,"vbg_o2sat","pmm","race_ethnicity5",3,20551206,5,"20260424_063653","2026-04-24 06:36:53.744157"
4,1,"vbg_o2sat","pmm","race_ethnicity5",3,20551206,5,"20260424_063653","2026-04-24 06:36:53.744157"
4,2,"vbg_o2sat","pmm","race_ethnicity5",3,20551206,5,"20260424_063653","2026-04-24 06:36:53.744157"
5,1,"vbg_o2sat","pmm","race_ethnicity5",3,20551206,5,"20260424_063653","2026-04-24 06:36:53.744157"
5,2,"vbg_o2sat","pmm","race_ethnicity5",3,20551206,5,"20260424_063653","2026-04-24 06:36:53.744157"
1,1,"vbg_o2sat","pmm","race_ethnicity5",4,20651206,7,"20260424_063653","2026-04-24 06:36:53.744157"
1,2,"vbg_o2sat","pmm","race_ethnicity5",4,20651206,7,"20260424_063653","2026-04-24 06:36:53.744157"
2,1,"vbg_o2sat","pmm","race_ethnicity5",4,20651206,7,"20260424_063653","2026-04-24 06:36:53.744157"
2,2,"vbg_o2sat","pmm","race_ethnicity5",4,20651206,7,"20260424_063653","2026-04-24 06:36:53.744157"
3,1,"vbg_o2sat","pmm","race_ethnicity5",4,20651206,7,"20260424_063653","2026-04-24 06:36:53.744157"
3,2,"vbg_o2sat","pmm","race_ethnicity5",4,20651206,7,"20260424_063653","2026-04-24 06:36:53.744157"
4,1,"vbg_o2sat","pmm","race_ethnicity5",4,20651206,7,"20260424_063653","2026-04-24 06:36:53.744157"
4,2,"vbg_o2sat","pmm","race_ethnicity5",4,20651206,7,"20260424_063653","2026-04-24 06:36:53.744157"
5,1,"vbg_o2sat","pmm","race_ethnicity5",4,20651206,7,"20260424_063653","2026-04-24 06:36:53.744157"
5,2,"vbg_o2sat","pmm","race_ethnicity5",4,20651206,7,"20260424_063653","2026-04-24 06:36:53.744157"
1,1,"vbg_o2sat","pmm","race_ethnicity5",5,20751206,9,"20260424_063653","2026-04-24 06:36:53.744157"
1,2,"vbg_o2sat","pmm","race_ethnicity5",5,20751206,9,"20260424_063653","2026-04-24 06:36:53.744157"
2,1,"vbg_o2sat","pmm","race_ethnicity5",5,20751206,9,"20260424_063653","2026-04-24 06:36:53.744157"
2,2,"vbg_o2sat","pmm","race_ethnicity5",5,20751206,9,"20260424_063653","2026-04-24 06:36:53.744157"
3,1,"vbg_o2sat","pmm","race_ethnicity5",5,20751206,9,"20260424_063653","2026-04-24 06:36:53.744157"
3,2,"vbg_o2sat","pmm","race_ethnicity5",5,20751206,9,"20260424_063653","2026-04-24 06:36:53.744157"
4,1,"vbg_o2sat","pmm","race_ethnicity5",5,20751206,9,"20260424_063653","2026-04-24 06:36:53.744157"
4,2,"vbg_o2sat","pmm","race_ethnicity5",5,20751206,9,"20260424_063653","2026-04-24 06:36:53.744157"
5,1,"vbg_o2sat","pmm","race_ethnicity5",5,20751206,9,"20260424_063653","2026-04-24 06:36:53.744157"
5,2,"vbg_o2sat","pmm","race_ethnicity5",5,20751206,9,"20260424_063653","2026-04-24 06:36:53.744157"
1,1,"vbg_o2sat","pmm","race_ethnicity5",6,20851206,11,"20260424_063653","2026-04-24 06:36:53.744157"
1,2,"vbg_o2sat","pmm","race_ethnicity5",6,20851206,11,"20260424_063653","2026-04-24 06:36:53.744157"
2,1,"vbg_o2sat","pmm","race_ethnicity5",6,20851206,11,"20260424_063653","2026-04-24 06:36:53.744157"
2,2,"vbg_o2sat","pmm","race_ethnicity5",6,20851206,11,"20260424_063653","2026-04-24 06:36:53.744157"
3,1,"vbg_o2sat","pmm","race_ethnicity5",6,20851206,11,"20260424_063653","2026-04-24 06:36:53.744157"
3,2,"vbg_o2sat","pmm","race_ethnicity5",6,20851206,11,"20260424_063653","2026-04-24 06:36:53.744157"
4,1,"vbg_o2sat","pmm","race_ethnicity5",6,20851206,11,"20260424_063653","2026-04-24 06:36:53.744157"
4,2,"vbg_o2sat","pmm","race_ethnicity5",6,20851206,11,"20260424_063653","2026-04-24 06:36:53.744157"
5,1,"vbg_o2sat","pmm","race_ethnicity5",6,20851206,11,"20260424_063653","2026-04-24 06:36:53.744157"
5,2,"vbg_o2sat","pmm","race_ethnicity5",6,20851206,11,"20260424_063653","2026-04-24 06:36:53.744157"
1,1,"vbg_o2sat","pmm","race_ethnicity5",7,20951206,13,"20260424_063653","2026-04-24 06:36:53.744157"
1,2,"vbg_o2sat","pmm","race_ethnicity5",7,20951206,13,"20260424_063653","2026-04-24 06:36:53.744157"
2,1,"vbg_o2sat","pmm","race_ethnicity5",7,20951206,13,"20260424_063653","2026-04-24 06:36:53.744157"
2,2,"vbg_o2sat","pmm","race_ethnicity5",7,20951206,13,"20260424_063653","2026-04-24 06:36:53.744157"
3,1,"vbg_o2sat","pmm","race_ethnicity5",7,20951206,13,"20260424_063653","2026-04-24 06:36:53.744157"
3,2,"vbg_o2sat","pmm","race_ethnicity5",7,20951206,13,"20260424_063653","2026-04-24 06:36:53.744157"
4,1,"vbg_o2sat","pmm","race_ethnicity5",7,20951206,13,"20260424_063653","2026-04-24 06:36:53.744157"
4,2,"vbg_o2sat","pmm","race_ethnicity5",7,20951206,13,"20260424_063653","2026-04-24 06:36:53.744157"
5,1,"vbg_o2sat","pmm","race_ethnicity5",7,20951206,13,"20260424_063653","2026-04-24 06:36:53.744157"
5,2,"vbg_o2sat","pmm","race_ethnicity5",7,20951206,13,"20260424_063653","2026-04-24 06:36:53.744157"
1,1,"vbg_o2sat","pmm","race_ethnicity5",8,21051206,15,"20260424_063653","2026-04-24 06:36:53.744157"
1,2,"vbg_o2sat","pmm","race_ethnicity5",8,21051206,15,"20260424_063653","2026-04-24 06:36:53.744157"
2,1,"vbg_o2sat","pmm","race_ethnicity5",8,21051206,15,"20260424_063653","2026-04-24 06:36:53.744157"
2,2,"vbg_o2sat","pmm","race_ethnicity5",8,21051206,15,"20260424_063653","2026-04-24 06:36:53.744157"
3,1,"vbg_o2sat","pmm","race_ethnicity5",8,21051206,15,"20260424_063653","2026-04-24 06:36:53.744157"
3,2,"vbg_o2sat","pmm","race_ethnicity5",8,21051206,15,"20260424_063653","2026-04-24 06:36:53.744157"
4,1,"vbg_o2sat","pmm","race_ethnicity5",8,21051206,15,"20260424_063653","2026-04-24 06:36:53.744157"
4,2,"vbg_o2sat","pmm","race_ethnicity5",8,21051206,15,"20260424_063653","2026-04-24 06:36:53.744157"
5,1,"vbg_o2sat","pmm","race_ethnicity5",8,21051206,15,"20260424_063653","2026-04-24 06:36:53.744157"
5,2,"vbg_o2sat","pmm","race_ethnicity5",8,21051206,15,"20260424_063653","2026-04-24 06:36:53.744157"
1,1,"vbg_o2sat","pmm","race_ethnicity5",9,21151206,17,"20260424_063653","2026-04-24 06:36:53.744157"
1,2,"vbg_o2sat","pmm","race_ethnicity5",9,21151206,17,"20260424_063653","2026-04-24 06:36:53.744157"
2,1,"vbg_o2sat","pmm","race_ethnicity5",9,21151206,17,"20260424_063653","2026-04-24 06:36:53.744157"
2,2,"vbg_o2sat","pmm","race_ethnicity5",9,21151206,17,"20260424_063653","2026-04-24 06:36:53.744157"
3,1,"vbg_o2sat","pmm","race_ethnicity5",9,21151206,17,"20260424_063653","2026-04-24 06:36:53.744157"
3,2,"vbg_o2sat","pmm","race_ethnicity5",9,21151206,17,"20260424_063653","2026-04-24 06:36:53.744157"
4,1,"vbg_o2sat","pmm","race_ethnicity5",9,21151206,17,"20260424_063653","2026-04-24 06:36:53.744157"
4,2,"vbg_o2sat","pmm","race_ethnicity5",9,21151206,17,"20260424_063653","2026-04-24 06:36:53.744157"
5,1,"vbg_o2sat","pmm","race_ethnicity5",9,21151206,17,"20260424_063653","2026-04-24 06:36:53.744157"
5,2,"vbg_o2sat","pmm","race_ethnicity5",9,21151206,17,"20260424_063653","2026-04-24 06:36:53.744157"
1,1,"vbg_o2sat","pmm","race_ethnicity5",10,21251206,19,"20260424_063653","2026-04-24 06:36:53.744157"
1,2,"vbg_o2sat","pmm","race_ethnicity5",10,21251206,19,"20260424_063653","2026-04-24 06:36:53.744157"
2,1,"vbg_o2sat","pmm","race_ethnicity5",10,21251206,19,"20260424_063653","2026-04-24 06:36:53.744157"
2,2,"vbg_o2sat","pmm","race_ethnicity5",10,21251206,19,"20260424_063653","2026-04-24 06:36:53.744157"
3,1,"vbg_o2sat","pmm","race_ethnicity5",10,21251206,19,"20260424_063653","2026-04-24 06:36:53.744157"
3,2,"vbg_o2sat","pmm","race_ethnicity5",10,21251206,19,"20260424_063653","2026-04-24 06:36:53.744157"
4,1,"vbg_o2sat","pmm","race_ethnicity5",10,21251206,19,"20260424_063653","2026-04-24 06:36:53.744157"
4,2,"vbg_o2sat","pmm","race_ethnicity5",10,21251206,19,"20260424_063653","2026-04-24 06:36:53.744157"
5,1,"vbg_o2sat","pmm","race_ethnicity5",10,21251206,19,"20260424_063653","2026-04-24 06:36:53.744157"
5,2,"vbg_o2sat","pmm","race_ethnicity5",10,21251206,19,"20260424_063653","2026-04-24 06:36:53.744157"
