"group","outcome","co2_scale","co2_value","paco2","probability_method","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","co2_ref","run_id","run_ts"
"ABG","imv_proc","paco2",29.5427135678392,29.5427135678392,"common_source_marginal_standardized",-1.13446344560942,0.0127161644960138,0.000947893608333724,0.243380921356094,20,20,5175,1000,1000,0.0137114527847642,0.117095912758577,0.243338328737237,0.203595598213095,0.288033215019118,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",29.8542713567839,29.8542713567839,"common_source_marginal_standardized",-1.13853267235691,0.0125228345624036,0.000943312931445252,0.242632286644434,20,20,5175,1000,1000,0.0135133131404211,0.116246776903367,0.242589865969304,0.203205931706037,0.286858869352573,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",30.1658291457286,30.1658291457286,"common_source_marginal_standardized",-1.14341071203489,0.0123314445527025,0.000938701855244456,0.241736953482168,20,20,5175,1000,1000,0.0133170815007091,0.115399659881254,0.241694700642703,0.202685442421735,0.28552317167993,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",30.4773869346734,30.4773869346734,"common_source_marginal_standardized",-1.14910878773632,0.0121363347831304,0.000933911177114195,0.2406939859807,20,20,5175,1000,1000,0.0131169415191003,0.1145292168798,0.240651904256946,0.202041083473585,0.284015130286825,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",30.7889447236181,30.7889447236181,"common_source_marginal_standardized",-1.15563817951293,0.011932601912768,0.000928815762989922,0.239502654775609,20,20,5175,1000,1000,0.0129078584639074,0.11361275660729,0.239460753880254,0.201279082077996,0.282325152806325,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",31.1005025125628,31.1005025125628,"common_source_marginal_standardized",-1.16301022670346,0.011716135859967,0.000923315712860803,0.238162446572028,20,20,5175,1000,1000,0.0126856173584709,0.11263044596587,0.238120741637799,0.200404860538181,0.280445158503135,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",31.4120603015075,31.4120603015075,"common_source_marginal_standardized",-1.17123633028081,0.0114836577403154,0.000917337558748357,0.236673073967534,20,20,5175,1000,1000,0.0124468621770011,0.111565506214964,0.236631584471313,0.199422967800451,0.27836868223439,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",31.7236180904523,31.7236180904523,"common_source_marginal_standardized",-1.18032795520869,0.0112327588796309,0.000910835496830729,0.235034485523103,20,20,5175,1000,1000,0.0121891361513032,0.11040442088659,0.234993234140736,0.198337015233533,0.276090976433476,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",32.035175879397,32.035175879397,"common_source_marginal_standardized",-1.19029663279654,0.0109619409580884,0.000903792655449375,0.233246876043397,20,20,5175,1000,1000,0.0119109232463102,0.109137176279718,0.233205887429515,0.19714961036844,0.27360911728267,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
"ABG","imv_proc","paco2",32.3467336683417,32.3467336683417,"common_source_marginal_standardized",-1.2011539630395,0.010670657344014,0.000896222400793883,0.231310697017501,20,20,5175,1000,1000,0.0116116908648476,0.10775755595246,0.231269996505359,0.195862282542525,0.270922120928619,TRUE,18,40,"20260424_063653","2026-04-24 06:36:53.744157"
