"group","variable","max_abs_pre","max_abs_post","run_id","run_ts"
"ABG","asthma",0.0637594212829507,0.0338728356766751,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","osa",0.0346531723234506,0.0327153061943511,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","serum_lac",0.0472732097671323,0.0312387828212388,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","serum_phos",0.0461697231124837,0.029492913013029,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","serum_ca",0.0231511010373394,0.0288501334245876,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","serum_hco3",0.124919005252728,0.0260250261940838,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","plt",0.021717322067915,0.0248817691905405,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","dm",0.0183900252968096,0.0235683199618769,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","hr",0.0553936990414889,0.023347065920919,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","asthma",0.00923266942359325,0.0212066006121725,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","serum_k",0.0136100143054323,0.020371332988882,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","temp_new",0.0438060506548428,0.0196502310918461,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","osa",0.0448859836498596,0.0192724226872821,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","serum_cl",0.028687940110464,0.0185097222324873,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","wbc",0.0246914256548038,0.0183479542799567,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","copd",0.00468993122776296,0.0168539270599423,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","serum_phos",0.0335456075760985,0.0165727015531884,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","serum_k",0.0266890952735544,0.0154512421743225,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","serum_cr",0.0504364840980916,0.0109530728467395,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","encounter_type",0.0349758517391326,0.00855138378702142,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","serum_hco3",0.0597652994173735,0.00581158856269296,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","acute_nmd",0.00357577269788994,0.00388188609603612,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","acute_nmd",0.00784408895748879,0.00318162285836807,"20260423_111150","2026-04-23 11:11:50.486947"
"VBG","age_at_encounter",0.0219558622628326,0.00273926628345244,"20260423_111150","2026-04-23 11:11:50.486947"
"ABG","sodium",0.0287893328606458,0.00263474192181941,"20260423_111150","2026-04-23 11:11:50.486947"
