"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","n_imp_contrib","run_id","run_ts"
"VBG","imv_proc","IMV",59,59.5,13,0.363780783820002,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",60,60.5,16,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",61,61.5,8,0.255772658607978,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",62,62.5,9,0.260579601104082,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",63,63.5,8,0.2304053343507,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",64,64.5,11,0.171913615045564,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",65,65.5,7,0.156857744067533,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",66,66.5,6,0.155340268720418,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",67,67.5,5,0.440950402314968,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",68,68.5,8,0.0814960803287656,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",69,69.5,4,0.680165099009714,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",70,70.5,9,0.400148689516816,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",71,71.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",72,72.5,4,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",73,73.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",74,74.5,2,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",75,75.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",76,76.5,3,0.117435281140744,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",77,77.5,4,0.417904132249539,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",78,78.5,2,1,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",79,79.5,4,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",80,80.5,1,1,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",81,81.5,3,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",82,82.5,2,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
"VBG","imv_proc","IMV",84,84.5,1,0,1,"20260416_211701","2026-04-16 21:17:01.49828"
