"variable","level","type","smd_pre","smd_post","group","imp","run_id","run_ts"
"acute_nmd","1","factor",0.00784411947443442,0.00236735165649615,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"phtn","0","factor",-0.0474360216201267,-0.0189493293379868,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"phtn","1","factor",0.0474360216201263,0.0189493293379931,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"ckd","0","factor",-0.0498309137994015,-0.0350337252317256,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"ckd","1","factor",0.0498309137994015,0.0350337252317186,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"dm","0","factor",-0.0183900968420593,-0.0276931066651274,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"dm","1","factor",0.0183900968420592,0.0276931066651414,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"location","0","factor",0.172842061895068,0.088756531777459,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"location","1","factor",-0.138855339232674,-0.0747506512243631,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"location","2","factor",0.0335591849025047,-0.0318167007635896,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"location","3","factor",-0.0863437003124133,-0.00853588940445618,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"encounter_type","Emergency","factor",-0.379033442476437,-0.0858392936449652,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"encounter_type","Inpatient","factor",0.379033442476437,0.0858392936449877,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"temp_new",NA,"numeric",-0.0919255525698933,-0.0134452306491221,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"sbp",NA,"numeric",-0.167687775905571,-0.0321760154378811,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"dbp",NA,"numeric",-0.165148952342351,-0.0333713134474684,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"hr",NA,"numeric",-0.0652377624873182,-0.0224000237485896,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"sodium",NA,"numeric",-0.0328188935470482,-0.0178156595040391,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_cr",NA,"numeric",0.0535811398760254,0.0403459556192397,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_hco3",NA,"numeric",-0.127398535013791,-0.000458641818544276,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_cl",NA,"numeric",0.0223533396327107,-0.0120088411779035,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_lac",NA,"numeric",0.103527528185789,0.0131144268749937,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_k",NA,"numeric",0.019055785010396,0.024041317760025,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"wbc",NA,"numeric",0.113065548062821,0.015300831305447,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"plt",NA,"numeric",-0.110231153214291,-0.00709979177233316,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_phos",NA,"numeric",0.0858031562952649,0.0200552594049348,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"serum_ca",NA,"numeric",-0.243781945162239,-0.0201104940102012,"ABG",2,"20260423_111150","2026-04-23 11:11:50.486947"
"age_at_encounter",NA,"numeric",0.112153426374432,0.0527871236145019,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"sex","Female","factor",-0.07791237142034,-0.0211347373428646,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"sex","Male","factor",0.0779123714203399,0.0211347373428606,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","0","factor",0.0526458942491266,0.0136546001898511,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","1","factor",-0.0738401276386432,-0.00455440299726996,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","2","factor",-0.0510207351504762,-0.0256768375409418,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","3","factor",0.0132592329728474,-0.0011074409563564,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","4","factor",0.0432910223497279,0.0104461034237132,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
"race_ethnicity","5","factor",-0.00271650504953615,-0.00611727904071308,"ABG",3,"20260423_111150","2026-04-23 11:11:50.486947"
