"imp","stage","when","gc_vcells_used_mb","gc_vcells_limit_mb","gc_vcells_frac","gc_vcells_trigger_mb","gc_vcells_max_used_mb","rss_mb","run_mode","pilot_frac","run_id","run_ts"
12,"ps_vbg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2775.3125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
12,"ps_vbg","post",3703.2,16384,0.226025390625,964751313,964680566,2775.3125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
12,"imputation","post",3703.1,16384,0.226019287109375,964751313,964680566,2790.234375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
13,"imputation","pre",3701.6,16384,0.225927734375,964751313,964680566,2790.234375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
13,"ps_abg","pre",3703,16384,0.22601318359375,964751313,964680566,2790.234375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
13,"ps_abg","post",3703.1,16384,0.226019287109375,964751313,964680566,2790.234375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
13,"ps_vbg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2790.234375,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
13,"ps_vbg","post",3703.2,16384,0.226025390625,964751313,964680566,2790.25,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
13,"imputation","post",3703.1,16384,0.226019287109375,964751313,964680566,2796.8125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
14,"imputation","pre",3701.6,16384,0.225927734375,964751313,964680566,2796.8125,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
14,"ps_abg","pre",3703,16384,0.22601318359375,964751313,964680566,2797.25,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
14,"ps_abg","post",3703.1,16384,0.226019287109375,964751313,964680566,2797.25,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
14,"ps_vbg","pre",3703.1,16384,0.226019287109375,964751313,964680566,2797.25,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
14,"ps_vbg","post",3703.2,16384,0.226025390625,964751313,964680566,2797.25,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
14,"imputation","post",3703.1,16384,0.226019287109375,964751313,964680566,2797.296875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
15,"imputation","pre",3701.6,16384,0.225927734375,964751313,964680566,2797.296875,"pilot",0.01,"20260424_063653","2026-04-24 06:36:53.744157"
