"sentinel_concept","group","imp","n_tested","events","unweighted_rate","weighted_rate","weighted_n","ess","date_missing_fraction","run_id","run_ts"
"Chest radiograph","VBG",10,1445,578,0.4,0.40190790952465,1445,956.087111086895,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",10,1911,285,0.149136577708006,0.1372638363867,1911,1386.04949107019,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",10,1445,250,0.173010380622837,0.21239844037432,1445,956.087111086895,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",11,1911,81,0.0423861852433281,0.0409923635774668,1911,1369.56871568335,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",11,1445,121,0.0837370242214533,0.0731919931318806,1445,960.078275541148,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",11,1911,522,0.273155416012559,0.268505762974212,1911,1369.56871568335,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",11,1445,578,0.4,0.408712231827644,1445,960.078275541148,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",11,1911,285,0.149136577708006,0.137158762346681,1911,1369.56871568335,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",11,1445,250,0.173010380622837,0.212321119437569,1445,960.078275541148,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",12,1911,81,0.0423861852433281,0.0411628634123541,1911,1353.92604811327,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",12,1445,121,0.0837370242214533,0.075853153942545,1445,935.596237338025,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",12,1911,522,0.273155416012559,0.264670927991643,1911,1353.92604811327,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",12,1445,578,0.4,0.402527129117068,1445,935.596237338025,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","ABG",12,1911,285,0.149136577708006,0.13073469868485,1911,1353.92604811327,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Transthoracic echocardiography","VBG",12,1445,250,0.173010380622837,0.21271130456349,1445,935.596237338025,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","ABG",13,1911,81,0.0423861852433281,0.0405968482091076,1911,1343.48479378687,0,"20260424_063653","2026-04-24 06:36:53.744157"
"CT chest / CT pulmonary angiography","VBG",13,1445,121,0.0837370242214533,0.0740797340486853,1445,982.067602390854,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","ABG",13,1911,522,0.273155416012559,0.266294656333763,1911,1343.48479378687,0,"20260424_063653","2026-04-24 06:36:53.744157"
"Chest radiograph","VBG",13,1445,578,0.4,0.401779794129396,1445,982.067602390854,0,"20260424_063653","2026-04-24 06:36:53.744157"
