"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","run_id","run_ts"
"VBG","death_60d","Death (60d)",35,35.5,29,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",36,36.5,41,0.210421865251731,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",37,37.5,42,0.160114857451346,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",38,38.5,40,0.0805372661413069,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",39,39.5,49,0.207308643615064,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",40,40.5,63,0.134419877295611,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",41,41.5,73,0.0938657391067539,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",42,42.5,72,0.0774399817842112,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",43,43.5,61,0.126546193262079,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",44,44.5,65,0.0710872638093896,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",45,45.5,62,0.101066006117846,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",46,46.5,61,0.0720845066655764,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",47,47.5,55,0.159982164933603,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",48,48.5,63,0.0987441797399734,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",49,49.5,46,0.116884936087331,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",50,50.5,33,0.0457305989201948,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",51,51.5,38,0.1343976971201,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",52,52.5,45,0.0676365303078037,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",53,53.5,35,0.192427555932242,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",54,54.5,35,0.0764080238643967,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",55,55.5,23,0.208409061880466,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",56,56.5,15,0.141280604588996,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",57,57.5,19,0.0624287444395934,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",58,58.5,18,0.22332404945619,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",59,59.5,16,0.107575155962752,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",60,60.5,12,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",61,61.5,9,0.303138115127215,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",62,62.5,13,0.0885949490198459,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",63,63.5,9,0.0580992944557987,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",64,64.5,6,0.157775384675632,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",65,65.5,7,0.0757704610019745,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",66,66.5,3,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",67,67.5,5,0.120506145061507,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",68,68.5,8,0.174948424003513,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",69,69.5,6,0.4867456566806,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",70,70.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",71,71.5,2,0.288793604191717,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",72,72.5,4,0.32033099400989,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",73,73.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
"VBG","death_60d","Death (60d)",74,74.5,2,0,"20260208_095917","2026-02-08 09:59:17.934826"
