"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","n_imp_contrib","run_id","run_ts"
"ABG","hypercap_resp_failure","Hypercapnic RF",61,61.5,911,0.351343023009867,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",62,62.5,873,0.365546843858847,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",63,63.5,778,0.408579208921004,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",64,64.5,707,0.433615328269274,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",65,65.5,594,0.451650366429498,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",66,66.5,604,0.442322083797493,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",67,67.5,569,0.426249500648577,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",68,68.5,564,0.482079445107055,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",69,69.5,505,0.484200391088508,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",70,70.5,469,0.46647003188749,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",71,71.5,439,0.50852754202111,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",72,72.5,405,0.520092886397222,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",73,73.5,397,0.4983784045308,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",74,74.5,339,0.529924766838406,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",75,75.5,340,0.558604870016514,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",76,76.5,306,0.457512404038544,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",77,77.5,321,0.525378080642821,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",78,78.5,263,0.49312473971376,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",79,79.5,268,0.528895654535915,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",80,80.5,268,0.518023766177318,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",81,81.5,224,0.465994080854496,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",82,82.5,227,0.540153291047515,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",83,83.5,230,0.513452853137387,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",84,84.5,214,0.459062347345765,1,"20260410_065559","2026-04-10 06:55:59.257143"
"ABG","hypercap_resp_failure","Hypercapnic RF",85,85.5,216,0.410113689691734,1,"20260410_065559","2026-04-10 06:55:59.257143"
