"group","sample","abs_smd","abs_smd_raw","term","run_id","run_ts"
"VBG","IPW",0.0217343898992967,0.0408492473991125,"asthma:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0217343898992981,0.0408492473991126,"asthma:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0100740873560266,0.0198093231850456,"chf:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0100740873560263,0.0198093231850457,"chf:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0180200075593535,0.0429748305179236,"ckd:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0180200075593554,0.0429748305179235,"ckd:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0130517474252163,0.00149475500562621,"copd:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.013051747425214,0.00149475500562614,"copd:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0213676826629674,0.204533716484053,"curr_bmi","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0231929424915623,0.104451295368733,"dbp","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00744325822508216,0.0860079855663407,"dm:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0074432582250799,0.0860079855663409,"dm:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0541080570328813,0.0213014530790048,"encounter_type:Emergency","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0541080570328831,0.0213014530790048,"encounter_type:Inpatient","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0191778796050374,0.137058001205418,"hr","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0127600683046125,0.325580101149538,"location:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0113679753868179,0.373387522276711,"location:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00766731848976368,0.0736961949864612,"location:2","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0313212249036302,0.048109863660012,"location:3","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00811128622788693,0.0266134122443229,"osa:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0081112862278866,0.026613412244323,"osa:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00332120377655375,0.0444794777247457,"phtn:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00332120377655663,0.0444794777247456,"phtn:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0166658594198377,0.0342894398894023,"plt","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00583993480460782,0.213841900067109,"race_ethnicity:0","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00712662679206113,0.0389152834645858,"race_ethnicity:1","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00603585511223581,0.0555915125930023,"race_ethnicity:2","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00577293624095262,0.0320842696149992,"race_ethnicity:3","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00264903427783439,0.107807457828638,"race_ethnicity:4","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0157490806776178,0.0124847786444402,"race_ethnicity:5","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00745060251582081,0.202379128285039,"race_ethnicity:6","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00917141591164136,0.143916717223416,"sbp","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0614359989130965,0.00942469909414686,"serum_ca","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.00660456189404593,0.16129998208369,"serum_cl","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0246714076949093,0.0937380576979789,"serum_cr","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.01165789704087,0.0563184268964804,"serum_hco3","20260409_132423","2026-04-09 13:24:23.302076"
"VBG","IPW",0.0111111635447877,0.0921119683923725,"serum_k","20260409_132423","2026-04-09 13:24:23.302076"
