"group","outcome","co2_scale","co2_value","vbg_co2","probability_method","eta","ubar","bvar","p_imp_mean","m_used","m_total","n_available","n_standardized","standardization_sample_cap","var_eta","SE_eta","p","p_LCL","p_UCL","passed_threshold","min_required","co2_ref","run_id","run_ts"
"VBG","death_60d","vbg_co2",27.08462325053,27.08462325053,"common_source_marginal_standardized",-2.33792530987258,0.0641041691667752,0.00450969346446754,0.0881706680523032,20,20,5175,1000,1000,0.0688393473044661,0.262372535347102,0.0880303307130538,0.0545689728154936,0.13899346932997,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",27.393085575583,27.393085575583,"common_source_marginal_standardized",-2.30646175565054,0.0593321340405226,0.0044141365325457,0.0907293673456673,20,20,5175,1000,1000,0.0639669773996956,0.252916937747743,0.0905892132625288,0.057206542864081,0.140548163282064,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",27.701547900636,27.701547900636,"common_source_marginal_standardized",-2.27590394888764,0.0550789628061622,0.00433885668349408,0.09327878231612,20,20,5175,1000,1000,0.059634762323831,0.24420229794953,0.0931383442252521,0.0598307340550013,0.142184022675152,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",28.010010225689,28.010010225689,"common_source_marginal_standardized",-2.24626608436714,0.0513087446047685,0.00428180620584839,0.0958131885733102,20,20,5175,1000,1000,0.0558046411209093,0.236230059731841,0.095672031787848,0.06242815573725,0.143901652092485,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",28.318472550742,28.318472550742,"common_source_marginal_standardized",-2.21756221429847,0.0479861673946064,0.00424098580223353,0.0983267180210509,20,20,5175,1000,1000,0.0524392024869516,0.228996075265389,0.0981844448923115,0.0649857033892541,0.145700348542743,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",28.626934875795,28.626934875795,"common_source_marginal_standardized",-2.18980626667322,0.0450765953105602,0.00421444842814638,0.10081337800354,20,20,5175,1000,1000,0.0495017661601139,0.222489923727152,0.100669631903775,0.0674908760233044,0.147577854530924,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",28.935397200848,28.935397200848,"common_source_marginal_standardized",-2.16301206435849,0.0425461413315948,0.00420030287539546,0.103267071198928,20,20,5175,1000,1000,0.04695645935076,0.21669439159969,0.103121539985659,0.0699320838076372,0.149530132184705,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",29.243859525901,29.243859525901,"common_source_marginal_standardized",-2.13719334483103,0.0403617353703961,0.00419671711755234,0.105681616132926,20,20,5175,1000,1000,0.044768288343826,0.211585179877576,0.105534035064142,0.0722989253753413,0.151551177774581,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",29.552321850954,29.552321850954,"common_source_marginal_standardized",-2.11236378045816,0.038491187974097,0.00420192143804695,0.10805076818771,20,20,5175,1000,1000,0.0429032054840463,0.207130889738943,0.107900922266445,0.0745824149294237,0.153632895160603,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
"VBG","death_60d","vbg_co2",29.860784176007,29.860784176007,"common_source_marginal_standardized",-2.08853699923488,0.0369032498933136,0.00421421136440921,0.110368240986047,20,20,5175,1000,1000,0.0413281718259432,0.203293314759594,0.110215966721875,0.0767751426557855,0.155765043176973,TRUE,18,45,"20260424_063653","2026-04-24 06:36:53.744157"
