"cohort","outcome","outcome_label","bin_lo","bin_mid","n_bin","rate","run_id","run_ts"
"VBG","niv_proc","NIV",56,56.5,1176,0.096938775510204,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",57,57.5,876,0.102739726027397,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",58,58.5,859,0.112922002328289,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",59,59.5,724,0.095303867403315,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",60,60.5,669,0.109118086696562,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",61,61.5,543,0.128913443830571,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",62,62.5,550,0.16,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",63,63.5,454,0.136563876651982,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",64,64.5,379,0.153034300791557,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",65,65.5,349,0.171919770773639,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",66,66.5,324,0.191358024691358,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",67,67.5,288,0.21875,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",68,68.5,304,0.210526315789474,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",69,69.5,222,0.216216216216216,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",70,70.5,239,0.184100418410042,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",71,71.5,188,0.281914893617021,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",72,72.5,175,0.257142857142857,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",73,73.5,165,0.23030303030303,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",74,74.5,186,0.263440860215054,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",75,75.5,158,0.240506329113924,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",76,76.5,163,0.263803680981595,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",77,77.5,135,0.274074074074074,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",78,78.5,140,0.25,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",79,79.5,132,0.265151515151515,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",80,80.5,133,0.285714285714286,"20260415_003149","2026-04-15 00:31:49.347034"
"VBG","niv_proc","NIV",81,81.5,102,0.205882352941176,"20260415_003149","2026-04-15 00:31:49.347034"
