"outcome","outcome_var","group","co2_scale","strategy","co2_value","manuscript_eta","manuscript_var_eta","manuscript_p","manuscript_p_LCL","manuscript_p_UCL","discordance_eta","discordance_var_eta","discordance_p","discordance_p_LCL","discordance_p_UCL","abs_eta_diff","abs_var_eta_diff","abs_p_diff","abs_p_LCL_diff","abs_p_UCL_diff","run_id","run_ts"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",35.104643701908,-2.88800040636288,0.0850742244574192,0.0527499435957685,0.0304813959949559,0.0897805243223447,-2.88800040636288,0.0850742244574192,0.0527499435957685,0.0304813959949559,0.0897805243223447,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",35.413106026961,-2.88980041362293,0.0833282915411504,0.0526600743101533,0.0306026921866555,0.0891535420351076,-2.88980041362293,0.0833282915411504,0.0526600743101533,0.0306026921866555,0.0891535420351076,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",35.721568352014,-2.89183707425618,0.0813616997582403,0.0525585639588094,0.0307418242152967,0.088445308457885,-2.89183707425618,0.0813616997582403,0.0525585639588094,0.0307418242152967,0.088445308457885,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",36.030030677067,-2.89411377411228,0.079180512749239,0.052445308466654,0.030899186057467,0.0876566640829582,-2.89411377411228,0.079180512749239,0.052445308466654,0.030899186057467,0.0876566640829582,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",36.33849300212,-2.89663391380825,0.0767948723083809,0.0523202117960993,0.031074899382636,0.0867894882897548,-2.89663391380825,0.0767948723083809,0.0523202117960993,0.031074899382636,0.0867894882897548,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",36.646955327173,-2.89940090925902,0.0742191843726647,0.052183186218883,0.0312687632373136,0.0858467712632082,-2.89940090925902,0.0742191843726647,0.052183186218883,0.0312687632373136,0.0858467712632082,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",36.955417652226,-2.90241819220185,0.0714723095770834,0.0520341525847233,0.0314801868269971,0.084832700459758,-2.90241819220185,0.0714723095770834,0.0520341525847233,0.0314801868269971,0.084832700459758,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",37.263879977279,-2.90568921071337,0.0685777585253398,0.0518730405862881,0.0317081013878829,0.0837527654913537,-2.90568921071337,0.0685777585253398,0.0518730405862881,0.0317081013878829,0.0837527654913537,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",37.572342302332,-2.90921742971807,0.0655638919263785,0.0516997890199474,0.031950846415274,0.0826138860545908,-2.90921742971807,0.0655638919263785,0.0516997890199474,0.031950846415274,0.0826138860545908,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",37.880804627385,-2.91300633148684,0.0624641257474991,0.0515143460417636,0.032206024931428,0.0814245681565345,-2.91300633148684,0.0624641257474991,0.0515143460417636,0.032206024931428,0.0814245681565345,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",38.189266952438,-2.91705941612402,0.059317141534581,0.0513166694181553,0.0324703223569724,0.0801950940571242,-2.91705941612402,0.059317141534581,0.0513166694181553,0.0324703223569724,0.0801950940571242,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",38.497729277491,-2.92138020204166,0.0561671020489911,0.0511067267706527,0.0327392845070682,0.0789377504510799,-2.92138020204166,0.0561671020489911,0.0511067267706527,0.0327392845070682,0.0789377504510799,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",38.806191602544,-2.92597222641924,0.053063872368978,0.0508844958141453,0.0330070533362278,0.0776670963805729,-2.92597222641924,0.053063872368978,0.0508844958141453,0.0330070533362278,0.0776670963805729,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",39.114653927597,-2.93083787397959,0.0500635247685374,0.0506500209271404,0.0332660645411947,0.076400434113296,-2.93083787397959,0.0500635247685374,0.0506500209271404,0.0332660645411947,0.076400434113296,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",39.42311625265,-2.93592533101734,0.0472393796979505,0.0504059510912065,0.0335068626900582,0.0751652021437191,-2.93592533101734,0.0472393796979505,0.0504059510912065,0.0335068626900582,0.0751652021437191,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",39.731578577703,-2.94110681930052,0.0446773389016291,0.0501585151359598,0.0337190292818701,0.0739991646698451,-2.94110681930052,0.0446773389016291,0.0501585151359598,0.0337190292818701,0.0739991646698451,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",40.040040902756,-2.94624874341604,0.042452504897946,0.0499141061729972,0.0338923070237764,0.0729380302885316,-2.94624874341604,0.042452504897946,0.0499141061729972,0.0338923070237764,0.0729380302885316,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",40.348503227809,-2.95121734613335,0.0406258939182533,0.0496790079090865,0.0340174440676058,0.0720135811093707,-2.95121734613335,0.0406258939182533,0.0496790079090865,0.0340174440676058,0.0720135811093707,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",40.656965552862,-2.95587871632975,0.0392430084704684,0.0494594013183733,0.0340871958244219,0.0712525864174289,-2.95587871632975,0.0392430084704684,0.0494594013183733,0.0340871958244219,0.0712525864174289,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",40.965427877915,-2.96009880687212,0.0383327750954647,0.0492613782882172,0.0340973805419068,0.0706757524065333,-2.96009880687212,0.0383327750954647,0.0492613782882172,0.0340973805419068,0.0706757524065333,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
"NIV","niv_proc","VBG","vbg_co2","marginal_standardized",41.273890202968,-2.96374346231267,0.0379068573630888,0.0490909621087757,0.0340477892460492,0.0702968947748686,-2.96374346231267,0.0379068573630888,0.0490909621087757,0.0340477892460492,0.0702968947748686,0,0,0,0,0,"20260423_104307","2026-04-23 10:43:07.487173"
